symbol,market,exchange,currency,name_kr,name_en,base_slug,ko_slug,en_slug
003550.KS,KOSPI,KRX,KRW,LG,LG,003550,lg-주가-전망,003550-stock-forecast
003690.KS,KOSPI,KRX,KRW,코리안리,003690,003690,코리안리-주가-전망,003690-stock-forecast
004020.KS,KOSPI,KRX,KRW,현대제철,004020,004020,현대제철-주가-전망,004020-stock-forecast
004170.KS,KOSPI,KRX,KRW,신세계,004170,004170,신세계-주가-전망,004170-stock-forecast
004370.KS,KOSPI,KRX,KRW,농심,004370,004370,농심-주가-전망,004370-stock-forecast
004800.KS,KOSPI,KRX,KRW,효성,004800,004800,효성-주가-전망,004800-stock-forecast
004990.KS,KOSPI,KRX,KRW,롯데지주,004990,004990,롯데지주-주가-전망,004990-stock-forecast
005070.KS,KOSPI,KRX,KRW,코스모신소재,005070,005070,코스모신소재-주가-전망,005070-stock-forecast
005440.KS,KOSPI,KRX,KRW,현대지에프홀딩스,005440,005440,현대지에프홀딩스-주가-전망,005440-stock-forecast
005830.KS,KOSPI,KRX,KRW,DB손해보험,005830,005830,DB손해보험-주가-전망,005830-stock-forecast
